label_number,cost,epsilon,gamma,pearson,spearman
B.cells,384,5e-5,1e-7,0.9967962111058917,0.8836910132261174
B.cells,512,5e-5,1e-7,0.997066715864869,0.8840371874117194
B.cells,768,5e-5,1e-7,0.9973707490828109,0.8843594151473615
B.cells,256,5e-4,1e-7,0.9964136429238344,0.8834080684308593
B.cells,384,5e-4,1e-7,0.9968145833740597,0.8837820231890274
B.cells,512,5e-4,1e-7,0.9970811892692549,0.8840649679842856
B.cells,768,5e-4,1e-7,0.9973840061734086,0.8843079437330094
B.cells,256,5e-6,1e-7,0.9964123397631883,0.8834345036972479
B.cells,384,5e-6,1e-7,0.9967991107519113,0.8837377491627247
B.cells,512,5e-6,1e-7,0.9970708816587166,0.8840362322443334
B.cells,768,5e-6,1e-7,0.997373669891197,0.8843357243055753
B.cells,256,0.005,1e-6,0.9978234426367498,0.884489183381246
B.cells,384,0.005,1e-6,0.9978890036926175,0.8844197521294238
B.cells,512,0.005,1e-6,0.9978791027902827,0.8841033495695304
B.cells,768,0.005,1e-6,0.9978978157044338,0.8839626439964225
B.cells,256,0.05,1e-6,0.9954575048416925,0.8770510931501756
B.cells,384,0.05,1e-6,0.9957011743425187,0.8784769966208017
B.cells,512,0.05,1e-6,0.9957626932334938,0.8784475882277608
B.cells,768,0.05,1e-6,0.9956385411639832,0.8777333517250483
B.cells,256,5e-5,1e-6,0.9978435327849509,0.8842531359593367
B.cells,384,5e-5,1e-6,0.9977825419196005,0.8836799682623999
B.cells,512,5e-5,1e-6,0.997706873523425,0.8831888642422924
B.cells,768,5e-5,1e-6,0.997514751477056,0.8821354760522245
B.cells,256,5e-4,1e-6,0.9978539398696389,0.8842422389792988
B.cells,384,5e-4,1e-6,0.9977985446305856,0.8837837855401199
B.cells,512,5e-4,1e-6,0.997674003227531,0.8830774459846694
B.cells,768,5e-4,1e-6,0.997532561184746,0.8823240207130054
B.cells,256,5e-6,1e-6,0.9978484999744851,0.8842595934289889
B.cells,384,5e-6,1e-6,0.9977777030589091,0.8836488782366373
B.cells,512,5e-6,1e-6,0.9976883379461903,0.8831344600604731
B.cells,768,5e-6,1e-6,0.9975204067872593,0.8821925304872136
B.cells,256,0.005,1e-5,0.9976065048368794,0.8818075576714516
B.cells,384,0.005,1e-5,0.9973658795460849,0.8808027888466395
B.cells,512,0.005,1e-5,0.9972623948570358,0.8804434979258065
B.cells,768,0.005,1e-5,0.9972101878333536,0.8803057520262892
B.cells,256,0.05,1e-5,0.9955194538633495,0.8772958716091772
B.cells,384,0.05,1e-5,0.9955194538633495,0.8772958716091772
B.cells,512,0.05,1e-5,0.9955194538633495,0.8772958716091772
B.cells,768,0.05,1e-5,0.9955194538633495,0.8772958716091772
B.cells,256,5e-5,1e-5,0.9965039888036608,0.87859671541754
B.cells,384,5e-5,1e-5,0.9959671466035533,0.8768588219912831
B.cells,512,5e-5,1e-5,0.9956196798609745,0.8760271268062102
B.cells,768,5e-5,1e-5,0.9951252170170702,0.8747885437677435
B.cells,256,5e-4,1e-5,0.9965789422212931,0.878719824385846
B.cells,384,5e-4,1e-5,0.9960479145456183,0.8772090320954177
B.cells,512,5e-4,1e-5,0.9956184553327363,0.8760473736641821
B.cells,768,5e-4,1e-5,0.9949697394626631,0.8746167885280581
B.cells,256,5e-6,1e-5,0.9964597034244254,0.8784185296143262
B.cells,384,5e-6,1e-5,0.99596489076631,0.876974854649095
B.cells,512,5e-6,1e-5,0.9955653246887417,0.8758169361690329
B.cells,768,5e-6,1e-5,0.9951282182097454,0.8747500545580044
B.cells,256,0.005,1e-4,0.9974268265359891,0.8812082775816089
B.cells,384,0.005,1e-4,0.9974268265359891,0.8812082775816089
B.cells,512,0.005,1e-4,0.9974268265359891,0.8812082775816089
B.cells,768,0.005,1e-4,0.9974268265359891,0.8812082775816089
B.cells,256,0.05,1e-4,0.9954748469215362,0.8750078690338662
B.cells,384,0.05,1e-4,0.9954748469215362,0.8750078690338662
B.cells,512,0.05,1e-4,0.9954748469215362,0.8750078690338662
B.cells,768,0.05,1e-4,0.9954748469215362,0.8750078690338662
B.cells,256,5e-5,1e-4,0.9937195975948164,0.8731658892686536
B.cells,384,5e-5,1e-4,0.9928889815301666,0.8720976354453239
B.cells,512,5e-5,1e-4,0.9920476569630818,0.8707452395042381
B.cells,768,5e-5,1e-4,0.9909501459382762,0.8693844892117898
B.cells,256,5e-4,1e-4,0.9945283804887497,0.8745818105674424
B.cells,384,5e-4,1e-4,0.9940012329936116,0.8737114243767038
B.cells,512,5e-4,1e-4,0.9936429045123072,0.8730665653135665
B.cells,768,5e-4,1e-4,0.9932726440565286,0.8723050143925902
B.cells,256,5e-6,1e-4,0.9936128173157935,0.8730610361051769
B.cells,384,5e-6,1e-4,0.9927123404395937,0.8715942084206303
B.cells,512,5e-6,1e-4,0.9918556611328101,0.8704468102348766
B.cells,768,5e-6,1e-4,0.9908065000007046,0.8691920162569706
B.cells,256,0.005,0.001,0.9972365691141953,0.8820044835897184
B.cells,384,0.005,0.001,0.9972365691141953,0.8820044835897184
B.cells,512,0.005,0.001,0.9972365691141953,0.8820044835897184
B.cells,768,0.005,0.001,0.9972365691141953,0.8820044835897184
B.cells,256,0.05,0.001,0.991765879115802,0.8540487521594045
B.cells,384,0.05,0.001,0.991765879115802,0.8540487521594045
B.cells,512,0.05,0.001,0.991765879115802,0.8540487521594045
